CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,11.834,0.000,0.000e+00,-3.078e-02,6.640e-03,4.302e-03,7774.200000
500.000,0.000,19.723,0.000,0.000e+00,-5.002e-02,7.335e-03,4.398e-03,8376.300000
700.000,0.000,27.612,0.000,0.000e+00,-5.448e-02,7.062e-03,9.435e-05,8978.400000
600.000,0.000,23.667,0.000,0.000e+00,-5.456e-02,4.659e-03,3.831e-03,9580.500000
1100.000,0.000,43.390,0.000,0.000e+00,-6.007e-02,4.541e-03,-3.907e-03,10182.600000
1300.000,0.000,51.279,0.000,0.000e+00,-6.131e-02,3.971e-03,-6.316e-03,10784.700000
1500.000,0.000,59.168,0.000,0.000e+00,-6.214e-02,3.612e-03,-8.638e-03,11386.800000
1700.000,0.000,67.057,0.000,0.000e+00,-6.293e-02,3.046e-03,-1.076e-02,11988.900000
1600.000,0.000,63.113,0.000,0.000e+00,-6.253e-02,2.680e-03,-9.689e-03,12591.000000
2100.000,0.000,82.836,0.000,0.000e+00,-6.426e-02,2.473e-03,-1.444e-02,13193.100000
2300.000,0.000,90.725,0.000,0.000e+00,-6.481e-02,2.090e-03,-1.593e-02,13795.200000
2500.000,0.000,98.614,0.000,0.000e+00,-6.520e-02,1.883e-03,-1.725e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-9.821e-03,4.343e-04,2.743e-03,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-1.277e-02,2.022e-04,4.249e-03,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-1.461e-02,3.902e-04,4.616e-03,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.635e-02,5.792e-04,5.058e-03,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-1.784e-02,7.220e-04,5.465e-03,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-1.919e-02,8.037e-04,5.720e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-2.060e-02,8.980e-04,6.095e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-2.191e-02,9.545e-04,6.492e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-2.305e-02,1.026e-03,6.703e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-2.331e-02,1.397e-03,7.020e-03,22822.500000
300.000,0.000,19.834,0.000,0.000e+00,-3.704e-02,4.398e-03,9.520e-03,25226.700000
300.000,0.000,21.834,0.000,0.000e+00,-3.920e-02,3.753e-03,1.008e-02,25828.800000
300.000,0.000,23.834,0.000,0.000e+00,-3.944e-02,3.313e-03,9.744e-03,26430.900000
300.000,0.000,25.834,0.000,0.000e+00,-3.984e-02,3.176e-03,9.842e-03,27033.000000
300.000,0.000,27.834,0.000,0.000e+00,-3.984e-02,3.073e-03,9.594e-03,27635.100000
300.000,0.000,29.834,0.000,0.000e+00,-4.004e-02,3.038e-03,9.798e-03,28237.200000
300.000,0.000,31.834,0.000,0.000e+00,-3.999e-02,2.937e-03,9.442e-03,28839.300000
300.000,0.000,33.834,0.000,0.000e+00,-4.052e-02,2.853e-03,9.520e-03,29441.400000
300.000,0.000,35.834,0.000,0.000e+00,-4.024e-02,2.840e-03,9.284e-03,30043.500000
300.000,0.000,37.834,0.000,0.000e+00,-4.083e-02,2.788e-03,9.622e-03,30645.600000
600.000,0.000,31.667,0.000,0.000e+00,-4.305e-02,4.359e-03,6.156e-03,33049.800000
600.000,0.000,33.667,0.000,0.000e+00,-4.406e-02,3.360e-03,5.689e-03,33651.900000
600.000,0.000,35.667,0.000,0.000e+00,-4.393e-02,3.073e-03,5.158e-03,34254.000000
600.000,0.000,37.667,0.000,0.000e+00,-4.381e-02,2.978e-03,5.061e-03,34856.100000
600.000,0.000,39.667,0.000,0.000e+00,-4.464e-02,2.865e-03,5.563e-03,35458.200000
600.000,0.000,41.667,0.000,0.000e+00,-4.442e-02,2.820e-03,5.404e-03,36060.300000
600.000,0.000,43.667,0.000,0.000e+00,-4.430e-02,2.758e-03,5.208e-03,36662.400000
600.000,0.000,45.667,0.000,0.000e+00,-4.435e-02,2.704e-03,4.962e-03,37264.500000
600.000,0.000,47.667,0.000,0.000e+00,-4.429e-02,2.684e-03,4.805e-03,37866.600000
600.000,0.000,49.667,0.000,0.000e+00,-4.458e-02,2.653e-03,5.228e-03,38468.700000
900.000,0.000,43.501,0.000,0.000e+00,-4.626e-02,4.130e-03,1.027e-03,40872.900000
900.000,0.000,45.501,0.000,0.000e+00,-4.706e-02,3.112e-03,1.056e-03,41475.000000
900.000,0.000,47.501,0.000,0.000e+00,-4.703e-02,2.835e-03,9.290e-04,42077.100000
900.000,0.000,49.501,0.000,0.000e+00,-4.685e-02,2.684e-03,9.073e-04,42679.200000
900.000,0.000,51.501,0.000,0.000e+00,-4.718e-02,2.606e-03,7.021e-04,43281.300000
900.000,0.000,53.501,0.000,0.000e+00,-4.682e-02,2.525e-03,4.680e-04,43883.400000
900.000,0.000,55.501,0.000,0.000e+00,-4.694e-02,2.515e-03,5.046e-04,44485.500000
900.000,0.000,57.501,0.000,0.000e+00,-4.720e-02,2.446e-03,5.432e-04,45087.600000
900.000,0.000,59.501,0.000,0.000e+00,-4.731e-02,2.416e-03,5.306e-04,45689.700000
900.000,0.000,61.501,0.000,0.000e+00,-4.753e-02,2.418e-03,4.013e-04,46291.800000
1200.000,0.000,55.335,0.000,0.000e+00,-4.795e-02,3.776e-03,-3.306e-03,48696.000000
1200.000,0.000,57.335,0.000,0.000e+00,-4.822e-02,2.799e-03,-3.563e-03,49298.100000
1200.000,0.000,59.335,0.000,0.000e+00,-4.854e-02,2.589e-03,-3.662e-03,49900.200000
1200.000,0.000,61.335,0.000,0.000e+00,-4.847e-02,2.529e-03,-3.534e-03,50502.300000
1200.000,0.000,63.335,0.000,0.000e+00,-4.823e-02,2.397e-03,-3.638e-03,51104.400000
1200.000,0.000,65.335,0.000,0.000e+00,-4.826e-02,2.314e-03,-3.573e-03,51706.500000
1200.000,0.000,67.335,0.000,0.000e+00,-4.828e-02,2.309e-03,-3.780e-03,52308.600000
1200.000,0.000,69.335,0.000,0.000e+00,-4.850e-02,2.255e-03,-3.722e-03,52910.700000
1200.000,0.000,71.335,0.000,0.000e+00,-4.848e-02,2.259e-03,-3.781e-03,53512.800000
1200.000,0.000,73.335,0.000,0.000e+00,-4.834e-02,2.150e-03,-3.768e-03,54114.900000
1500.000,0.000,67.168,0.000,0.000e+00,-4.898e-02,3.509e-03,-6.860e-03,56519.100000
