CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,56.250,0.000,0.000e+00,-3.336e-02,-3.788e-03,-7.811e-03,7774.200000
500.000,0.000,93.750,0.000,0.000e+00,-5.803e-02,-7.705e-03,-2.294e-02,8376.300000
700.000,0.000,131.250,0.000,0.000e+00,-6.619e-02,-8.841e-03,-2.916e-02,8978.400000
600.000,0.000,112.500,0.000,0.000e+00,-6.356e-02,-8.496e-03,-2.737e-02,9580.500000
1100.000,0.000,206.250,0.000,0.000e+00,-8.082e-02,-1.204e-02,-4.455e-02,10182.600000
1300.000,0.000,243.750,0.000,0.000e+00,-8.566e-02,-1.308e-02,-5.043e-02,10784.700000
1500.000,0.000,281.250,0.000,0.000e+00,-9.011e-02,-1.413e-02,-5.523e-02,11386.800000
1700.000,0.000,318.750,0.000,0.000e+00,-9.378e-02,-1.509e-02,-5.991e-02,11988.900000
1600.000,0.000,300.000,0.000,0.000e+00,-9.208e-02,-1.458e-02,-5.783e-02,12591.000000
2100.000,0.000,393.750,0.000,0.000e+00,-9.979e-02,-1.658e-02,-6.757e-02,13193.100000
2300.000,0.000,431.250,0.000,0.000e+00,-1.025e-01,-1.722e-02,-7.106e-02,13795.200000
2500.000,0.000,468.750,0.000,0.000e+00,-1.050e-01,-1.794e-02,-7.430e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-2.522e-03,-3.936e-04,-4.440e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-2.864e-03,-4.017e-04,-5.186e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-3.349e-03,-2.911e-04,-5.254e-04,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-3.952e-03,-4.461e-04,-7.439e-04,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-4.479e-03,-5.271e-04,-8.762e-04,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-5.088e-03,-6.109e-04,-8.532e-04,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-5.591e-03,-6.110e-04,-9.994e-04,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-5.867e-03,-6.234e-04,-1.150e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-6.441e-03,-7.175e-04,-1.297e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-7.007e-03,-7.441e-04,-1.248e-03,22822.500000
300.000,0.000,64.250,0.000,0.000e+00,-4.300e-02,-5.190e-03,-1.309e-02,25226.700000
300.000,0.000,66.250,0.000,0.000e+00,-4.522e-02,-5.681e-03,-1.472e-02,25828.800000
300.000,0.000,68.250,0.000,0.000e+00,-4.553e-02,-5.700e-03,-1.489e-02,26430.900000
300.000,0.000,70.250,0.000,0.000e+00,-4.483e-02,-5.638e-03,-1.422e-02,27033.000000
300.000,0.000,72.250,0.000,0.000e+00,-4.594e-02,-5.789e-03,-1.497e-02,27635.100000
300.000,0.000,74.250,0.000,0.000e+00,-4.618e-02,-5.797e-03,-1.518e-02,28237.200000
300.000,0.000,76.250,0.000,0.000e+00,-4.642e-02,-5.867e-03,-1.536e-02,28839.300000
300.000,0.000,78.250,0.000,0.000e+00,-4.655e-02,-5.871e-03,-1.547e-02,29441.400000
300.000,0.000,80.250,0.000,0.000e+00,-4.661e-02,-5.917e-03,-1.568e-02,30043.500000
300.000,0.000,82.250,0.000,0.000e+00,-4.673e-02,-5.868e-03,-1.570e-02,30645.600000
600.000,0.000,120.500,0.000,0.000e+00,-6.231e-02,-8.189e-03,-2.709e-02,33049.800000
600.000,0.000,122.500,0.000,0.000e+00,-6.271e-02,-8.320e-03,-2.745e-02,33651.900000
600.000,0.000,124.500,0.000,0.000e+00,-6.314e-02,-8.323e-03,-2.774e-02,34254.000000
600.000,0.000,126.500,0.000,0.000e+00,-6.337e-02,-8.583e-03,-2.821e-02,34856.100000
600.000,0.000,128.500,0.000,0.000e+00,-6.350e-02,-8.501e-03,-2.828e-02,35458.200000
600.000,0.000,130.500,0.000,0.000e+00,-6.365e-02,-8.443e-03,-2.823e-02,36060.300000
600.000,0.000,132.500,0.000,0.000e+00,-6.382e-02,-8.545e-03,-2.838e-02,36662.400000
600.000,0.000,134.500,0.000,0.000e+00,-6.401e-02,-8.519e-03,-2.834e-02,37264.500000
600.000,0.000,136.500,0.000,0.000e+00,-6.403e-02,-8.566e-03,-2.867e-02,37866.600000
600.000,0.000,138.500,0.000,0.000e+00,-6.410e-02,-8.560e-03,-2.859e-02,38468.700000
900.000,0.000,176.750,0.000,0.000e+00,-7.389e-02,-1.043e-02,-3.821e-02,40872.900000
900.000,0.000,178.750,0.000,0.000e+00,-7.440e-02,-1.052e-02,-3.860e-02,41475.000000
900.000,0.000,180.750,0.000,0.000e+00,-7.459e-02,-1.050e-02,-3.865e-02,42077.100000
900.000,0.000,182.750,0.000,0.000e+00,-7.464e-02,-1.065e-02,-3.903e-02,42679.200000
900.000,0.000,184.750,0.000,0.000e+00,-7.469e-02,-1.059e-02,-3.899e-02,43281.300000
900.000,0.000,186.750,0.000,0.000e+00,-7.498e-02,-1.063e-02,-3.905e-02,43883.400000
900.000,0.000,188.750,0.000,0.000e+00,-7.499e-02,-1.059e-02,-3.906e-02,44485.500000
900.000,0.000,190.750,0.000,0.000e+00,-7.510e-02,-1.057e-02,-3.916e-02,45087.600000
900.000,0.000,192.750,0.000,0.000e+00,-7.539e-02,-1.066e-02,-3.914e-02,45689.700000
900.000,0.000,194.750,0.000,0.000e+00,-7.517e-02,-1.069e-02,-3.950e-02,46291.800000
1200.000,0.000,233.000,0.000,0.000e+00,-8.213e-02,-1.217e-02,-4.717e-02,48696.000000
1200.000,0.000,235.000,0.000,0.000e+00,-8.237e-02,-1.221e-02,-4.767e-02,49298.100000
1200.000,0.000,237.000,0.000,0.000e+00,-8.269e-02,-1.222e-02,-4.770e-02,49900.200000
1200.000,0.000,239.000,0.000,0.000e+00,-8.274e-02,-1.234e-02,-4.802e-02,50502.300000
1200.000,0.000,241.000,0.000,0.000e+00,-8.294e-02,-1.229e-02,-4.795e-02,51104.400000
1200.000,0.000,243.000,0.000,0.000e+00,-8.303e-02,-1.231e-02,-4.799e-02,51706.500000
1200.000,0.000,245.000,0.000,0.000e+00,-8.287e-02,-1.221e-02,-4.809e-02,52308.600000
1200.000,0.000,247.000,0.000,0.000e+00,-8.323e-02,-1.239e-02,-4.823e-02,52910.700000
1200.000,0.000,249.000,0.000,0.000e+00,-8.307e-02,-1.224e-02,-4.828e-02,53512.800000
