CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,0.000,0.000,0.000e+00,-3.110e-02,-1.949e-03,-1.920e-03,7774.200000
500.000,0.000,0.000,0.000,0.000e+00,-4.050e-02,-2.505e-03,-3.572e-03,8376.300000
700.000,0.000,0.000,0.000,0.000e+00,-4.743e-02,-2.880e-03,-5.276e-03,8978.400000
600.000,0.000,0.000,0.000,0.000e+00,-4.442e-02,-2.723e-03,-4.599e-03,9580.500000
1100.000,0.000,0.000,0.000,0.000e+00,-5.652e-02,-3.440e-03,-7.992e-03,10182.600000
1300.000,0.000,0.000,0.000,0.000e+00,-5.982e-02,-3.665e-03,-9.151e-03,10784.700000
1500.000,0.000,0.000,0.000,0.000e+00,-6.198e-02,-3.748e-03,-9.740e-03,11386.800000
1700.000,0.000,0.000,0.000,0.000e+00,-6.513e-02,-4.028e-03,-1.123e-02,11988.900000
1600.000,0.000,0.000,0.000,0.000e+00,-6.420e-02,-3.995e-03,-1.086e-02,12591.000000
2100.000,0.000,0.000,0.000,0.000e+00,-7.012e-02,-4.578e-03,-1.366e-02,13193.100000
2300.000,0.000,0.000,0.000,0.000e+00,-7.208e-02,-4.747e-03,-1.483e-02,13795.200000
2500.000,0.000,0.000,0.000,0.000e+00,-7.389e-02,-4.932e-03,-1.593e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-6.838e-03,-5.252e-04,-4.559e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-8.772e-03,-7.184e-04,-6.116e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-1.028e-02,-8.832e-04,-6.505e-04,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.163e-02,-1.000e-03,-7.609e-04,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-1.300e-02,-1.156e-03,-8.985e-04,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-1.416e-02,-1.257e-03,-1.009e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-1.534e-02,-1.404e-03,-1.164e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-1.651e-02,-1.527e-03,-1.225e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-1.763e-02,-1.619e-03,-1.306e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-1.855e-02,-1.681e-03,-1.468e-03,22822.500000
300.000,0.000,8.000,0.000,0.000e+00,-3.296e-02,-2.171e-03,-2.359e-03,25226.700000
300.000,0.000,10.000,0.000,0.000e+00,-3.369e-02,-2.282e-03,-2.582e-03,25828.800000
300.000,0.000,12.000,0.000,0.000e+00,-3.467e-02,-2.402e-03,-2.836e-03,26430.900000
300.000,0.000,14.000,0.000,0.000e+00,-3.522e-02,-2.461e-03,-2.961e-03,27033.000000
300.000,0.000,16.000,0.000,0.000e+00,-3.588e-02,-2.543e-03,-3.091e-03,27635.100000
300.000,0.000,18.000,0.000,0.000e+00,-3.630e-02,-2.606e-03,-3.274e-03,28237.200000
300.000,0.000,20.000,0.000,0.000e+00,-3.676e-02,-2.661e-03,-3.405e-03,28839.300000
300.000,0.000,22.000,0.000,0.000e+00,-3.730e-02,-2.719e-03,-3.511e-03,29441.400000
300.000,0.000,24.000,0.000,0.000e+00,-3.777e-02,-2.773e-03,-3.656e-03,30043.500000
300.000,0.000,26.000,0.000,0.000e+00,-3.828e-02,-2.870e-03,-3.807e-03,30645.600000
600.000,0.000,8.000,0.000,0.000e+00,-4.488e-02,-2.727e-03,-4.607e-03,33049.800000
600.000,0.000,10.000,0.000,0.000e+00,-4.586e-02,-2.928e-03,-4.963e-03,33651.900000
600.000,0.000,12.000,0.000,0.000e+00,-4.572e-02,-2.893e-03,-4.851e-03,34254.000000
600.000,0.000,14.000,0.000,0.000e+00,-4.611e-02,-2.972e-03,-4.963e-03,34856.100000
600.000,0.000,16.000,0.000,0.000e+00,-4.652e-02,-3.056e-03,-5.135e-03,35458.200000
600.000,0.000,18.000,0.000,0.000e+00,-4.691e-02,-3.107e-03,-5.267e-03,36060.300000
600.000,0.000,20.000,0.000,0.000e+00,-4.729e-02,-3.159e-03,-5.404e-03,36662.400000
600.000,0.000,22.000,0.000,0.000e+00,-4.755e-02,-3.209e-03,-5.521e-03,37264.500000
600.000,0.000,24.000,0.000,0.000e+00,-4.791e-02,-3.316e-03,-5.728e-03,37866.600000
600.000,0.000,26.000,0.000,0.000e+00,-4.834e-02,-3.377e-03,-5.831e-03,38468.700000
900.000,0.000,8.000,0.000,0.000e+00,-5.270e-02,-3.154e-03,-6.560e-03,40872.900000
900.000,0.000,10.000,0.000,0.000e+00,-5.336e-02,-3.309e-03,-6.896e-03,41475.000000
900.000,0.000,12.000,0.000,0.000e+00,-5.370e-02,-3.392e-03,-7.071e-03,42077.100000
900.000,0.000,14.000,0.000,0.000e+00,-5.396e-02,-3.477e-03,-7.225e-03,42679.200000
900.000,0.000,16.000,0.000,0.000e+00,-5.419e-02,-3.519e-03,-7.337e-03,43281.300000
900.000,0.000,18.000,0.000,0.000e+00,-5.445e-02,-3.546e-03,-7.410e-03,43883.400000
900.000,0.000,20.000,0.000,0.000e+00,-5.476e-02,-3.634e-03,-7.557e-03,44485.500000
900.000,0.000,22.000,0.000,0.000e+00,-5.508e-02,-3.700e-03,-7.700e-03,45087.600000
900.000,0.000,24.000,0.000,0.000e+00,-5.524e-02,-3.744e-03,-7.842e-03,45689.700000
900.000,0.000,26.000,0.000,0.000e+00,-5.553e-02,-3.785e-03,-7.963e-03,46291.800000
1200.000,0.000,8.000,0.000,0.000e+00,-5.882e-02,-3.568e-03,-8.608e-03,48696.000000
1200.000,0.000,10.000,0.000,0.000e+00,-5.932e-02,-3.726e-03,-8.945e-03,49298.100000
1200.000,0.000,12.000,0.000,0.000e+00,-5.950e-02,-3.798e-03,-9.009e-03,49900.200000
1200.000,0.000,14.000,0.000,0.000e+00,-5.969e-02,-3.870e-03,-9.162e-03,50502.300000
1200.000,0.000,16.000,0.000,0.000e+00,-5.984e-02,-3.923e-03,-9.227e-03,51104.400000
1200.000,0.000,18.000,0.000,0.000e+00,-6.013e-02,-3.959e-03,-9.402e-03,51706.500000
1200.000,0.000,20.000,0.000,0.000e+00,-6.032e-02,-4.004e-03,-9.532e-03,52308.600000
1200.000,0.000,22.000,0.000,0.000e+00,-6.053e-02,-4.067e-03,-9.658e-03,52910.700000
1200.000,0.000,24.000,0.000,0.000e+00,-6.074e-02,-4.098e-03,-9.800e-03,53512.800000
1200.000,0.000,26.000,0.000,0.000e+00,-6.089e-02,-4.138e-03,-9.849e-03,54114.900000
1500.000,0.000,8.000,0.000,0.000e+00,-6.358e-02,-3.931e-03,-1.046e-02,56519.100000
1500.000,0.000,10.000,0.000,0.000e+00,-6.397e-02,-4.087e-03,-1.077e-02,57121.200000
1500.000,0.000,12.000,0.000,0.000e+00,-6.413e-02,-4.152e-03,-1.085e-02,57723.300000
1500.000,0.000,14.000,0.000,0.000e+00,-6.424e-02,-4.178e-03,-1.093e-02,58325.400000
1500.000,0.000,16.000,0.000,0.000e+00,-6.448e-02,-4.245e-03,-1.107e-02,58927.500000
1500.000,0.000,18.000,0.000,0.000e+00,-6.476e-02,-4.335e-03,-1.119e-02,59529.600000
1500.000,0.000,20.000,0.000,0.000e+00,-6.484e-02,-4.429e-03,-1.139e-02,60131.700000
1500.000,0.000,22.000,0.000,0.000e+00,-6.499e-02,-4.383e-03,-1.148e-02,60733.800000
1500.000,0.000,24.000,0.000,0.000e+00,-6.517e-02,-4.422e-03,-1.155e-02,61335.900000
1500.000,0.000,26.000,0.000,0.000e+00,-6.532e-02,-4.494e-03,-1.168e-02,61938.000000
1800.000,0.000,8.000,0.000,0.000e+00,-6.744e-02,-4.228e-03,-1.229e-02,64342.200000
1800.000,0.000,10.000,0.000,0.000e+00,-6.787e-02,-4.434e-03,-1.256e-02,64944.300000
1800.000,0.000,12.000,0.000,0.000e+00,-6.796e-02,-4.470e-03,-1.258e-02,65546.400000
1800.000,0.000,14.000,0.000,0.000e+00,-6.803e-02,-4.460e-03,-1.267e-02,66148.500000
1800.000,0.000,16.000,0.000,0.000e+00,-6.821e-02,-4.544e-03,-1.292e-02,66750.600000
1800.000,0.000,18.000,0.000,0.000e+00,-6.838e-02,-4.621e-03,-1.308e-02,67352.700000
1800.000,0.000,20.000,0.000,0.000e+00,-6.847e-02,-4.611e-03,-1.319e-02,67954.800000
1800.000,0.000,22.000,0.000,0.000e+00,-6.867e-02,-4.694e-03,-1.332e-02,68556.900000
1800.000,0.000,24.000,0.000,0.000e+00,-6.875e-02,-4.692e-03,-1.341e-02,69159.000000
1800.000,0.000,26.000,0.000,0.000e+00,-6.899e-02,-4.807e-03,-1.356e-02,69761.100000
2100.000,0.000,8.000,0.000,0.000e+00,-7.069e-02,-4.508e-03,-1.397e-02,72165.300000
