CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,11.834,0.000,0.000e+00,-2.426e-02,-2.348e-03,-3.715e-03,7774.200000
500.000,0.000,19.723,0.000,0.000e+00,-3.741e-02,-3.717e-03,-7.624e-03,8376.300000
700.000,0.000,27.612,0.000,0.000e+00,-4.608e-02,-4.834e-03,-1.137e-02,8978.400000
600.000,0.000,23.667,0.000,0.000e+00,-4.265e-02,-4.368e-03,-9.911e-03,9580.500000
1100.000,0.000,43.390,0.000,0.000e+00,-5.667e-02,-6.187e-03,-1.740e-02,10182.600000
1300.000,0.000,51.279,0.000,0.000e+00,-6.049e-02,-6.733e-03,-2.017e-02,10784.700000
1500.000,0.000,59.168,0.000,0.000e+00,-6.371e-02,-7.106e-03,-2.272e-02,11386.800000
1700.000,0.000,67.057,0.000,0.000e+00,-6.699e-02,-7.721e-03,-2.512e-02,11988.900000
1600.000,0.000,63.113,0.000,0.000e+00,-6.558e-02,-7.439e-03,-2.383e-02,12591.000000
2100.000,0.000,82.836,0.000,0.000e+00,-7.225e-02,-8.477e-03,-2.954e-02,13193.100000
2300.000,0.000,90.725,0.000,0.000e+00,-7.453e-02,-8.872e-03,-3.170e-02,13795.200000
2500.000,0.000,98.614,0.000,0.000e+00,-7.672e-02,-9.240e-03,-3.365e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-2.531e-03,-2.320e-04,-4.418e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-3.028e-03,-3.330e-04,-6.155e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-3.614e-03,-3.202e-04,-6.473e-04,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-4.279e-03,-4.337e-04,-7.294e-04,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-4.763e-03,-5.616e-04,-8.701e-04,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-5.259e-03,-6.679e-04,-9.998e-04,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-5.852e-03,-6.534e-04,-9.087e-04,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-6.399e-03,-7.892e-04,-1.098e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-6.896e-03,-7.714e-04,-1.124e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-7.468e-03,-8.422e-04,-1.217e-03,22822.500000
300.000,0.000,19.834,0.000,0.000e+00,-2.875e-02,-2.988e-03,-5.123e-03,25226.700000
300.000,0.000,21.834,0.000,0.000e+00,-2.928e-02,-3.216e-03,-5.451e-03,25828.800000
300.000,0.000,23.834,0.000,0.000e+00,-2.980e-02,-3.119e-03,-5.514e-03,26430.900000
300.000,0.000,25.834,0.000,0.000e+00,-3.012e-02,-3.212e-03,-5.630e-03,27033.000000
300.000,0.000,27.834,0.000,0.000e+00,-3.030e-02,-3.257e-03,-5.837e-03,27635.100000
300.000,0.000,29.834,0.000,0.000e+00,-3.058e-02,-3.270e-03,-5.885e-03,28237.200000
300.000,0.000,31.834,0.000,0.000e+00,-3.060e-02,-3.237e-03,-6.037e-03,28839.300000
300.000,0.000,33.834,0.000,0.000e+00,-3.093e-02,-3.217e-03,-6.046e-03,29441.400000
300.000,0.000,35.834,0.000,0.000e+00,-3.146e-02,-3.352e-03,-6.110e-03,30043.500000
300.000,0.000,37.834,0.000,0.000e+00,-3.138e-02,-3.448e-03,-6.462e-03,30645.600000
600.000,0.000,31.667,0.000,0.000e+00,-4.204e-02,-4.178e-03,-9.826e-03,33049.800000
600.000,0.000,33.667,0.000,0.000e+00,-4.246e-02,-4.372e-03,-1.021e-02,33651.900000
600.000,0.000,35.667,0.000,0.000e+00,-4.265e-02,-4.329e-03,-1.029e-02,34254.000000
600.000,0.000,37.667,0.000,0.000e+00,-4.318e-02,-4.530e-03,-1.035e-02,34856.100000
600.000,0.000,39.667,0.000,0.000e+00,-4.307e-02,-4.439e-03,-1.050e-02,35458.200000
600.000,0.000,41.667,0.000,0.000e+00,-4.325e-02,-4.521e-03,-1.062e-02,36060.300000
600.000,0.000,43.667,0.000,0.000e+00,-4.327e-02,-4.416e-03,-1.066e-02,36662.400000
600.000,0.000,45.667,0.000,0.000e+00,-4.334e-02,-4.486e-03,-1.080e-02,37264.500000
600.000,0.000,47.667,0.000,0.000e+00,-4.385e-02,-4.595e-03,-1.071e-02,37866.600000
600.000,0.000,49.667,0.000,0.000e+00,-4.387e-02,-4.592e-03,-1.094e-02,38468.700000
900.000,0.000,43.501,0.000,0.000e+00,-5.105e-02,-5.220e-03,-1.420e-02,40872.900000
900.000,0.000,45.501,0.000,0.000e+00,-5.121e-02,-5.257e-03,-1.446e-02,41475.000000
900.000,0.000,47.501,0.000,0.000e+00,-5.154e-02,-5.287e-03,-1.451e-02,42077.100000
900.000,0.000,49.501,0.000,0.000e+00,-5.181e-02,-5.318e-03,-1.456e-02,42679.200000
900.000,0.000,51.501,0.000,0.000e+00,-5.185e-02,-5.345e-03,-1.475e-02,43281.300000
900.000,0.000,53.501,0.000,0.000e+00,-5.213e-02,-5.353e-03,-1.474e-02,43883.400000
900.000,0.000,55.501,0.000,0.000e+00,-5.211e-02,-5.345e-03,-1.486e-02,44485.500000
900.000,0.000,57.501,0.000,0.000e+00,-5.445e-02,-5.627e-03,-1.631e-02,45087.600000
900.000,0.000,59.501,0.000,0.000e+00,-5.766e-02,-6.067e-03,-1.860e-02,45689.700000
900.000,0.000,61.501,0.000,0.000e+00,-5.876e-02,-6.176e-03,-1.950e-02,46291.800000
1200.000,0.000,55.335,0.000,0.000e+00,-6.438e-02,-6.887e-03,-2.366e-02,48696.000000
1200.000,0.000,57.335,0.000,0.000e+00,-6.467e-02,-6.885e-03,-2.368e-02,49298.100000
