CH4/ppm,H2/ppm,C2H6/ppm,NH3/ppm,CH4_NG_CAL/ppm,V0,V1,V2,time
300.000,0.000,56.250,0.000,0.000e+00,-6.035e-02,-1.295e-03,-4.823e-03,7774.200000
500.000,0.000,93.750,0.000,0.000e+00,-8.141e-02,-5.545e-03,-2.483e-02,8376.300000
700.000,0.000,131.250,0.000,0.000e+00,-8.623e-02,-8.051e-03,-3.125e-02,8978.400000
600.000,0.000,112.500,0.000,0.000e+00,-8.569e-02,-9.537e-03,-3.218e-02,9580.500000
1100.000,0.000,206.250,0.000,0.000e+00,-9.337e-02,-1.281e-02,-4.690e-02,10182.600000
1300.000,0.000,243.750,0.000,0.000e+00,-9.519e-02,-1.418e-02,-5.117e-02,10784.700000
1500.000,0.000,281.250,0.000,0.000e+00,-9.672e-02,-1.516e-02,-5.453e-02,11386.800000
1700.000,0.000,318.750,0.000,0.000e+00,-9.837e-02,-1.605e-02,-5.747e-02,11988.900000
1600.000,0.000,300.000,0.000,0.000e+00,-9.778e-02,-1.583e-02,-5.622e-02,12591.000000
2100.000,0.000,393.750,0.000,0.000e+00,-1.008e-01,-1.749e-02,-6.222e-02,13193.100000
2300.000,0.000,431.250,0.000,0.000e+00,-1.020e-01,-1.828e-02,-6.445e-02,13795.200000
2500.000,0.000,468.750,0.000,0.000e+00,-1.028e-01,-1.890e-02,-6.628e-02,14397.300000
0.000,0.000,8.000,0.000,0.000e+00,-1.089e-02,-8.937e-04,6.266e-04,17403.600000
0.000,0.000,10.000,0.000,0.000e+00,-1.507e-02,-1.096e-03,9.652e-04,18005.700000
0.000,0.000,12.000,0.000,0.000e+00,-1.769e-02,-1.166e-03,1.126e-03,18607.800000
0.000,0.000,14.000,0.000,0.000e+00,-1.971e-02,-1.168e-03,1.151e-03,19209.900000
0.000,0.000,16.000,0.000,0.000e+00,-2.171e-02,-1.247e-03,1.222e-03,19812.000000
0.000,0.000,18.000,0.000,0.000e+00,-2.339e-02,-1.282e-03,1.216e-03,20414.100000
0.000,0.000,20.000,0.000,0.000e+00,-2.503e-02,-1.363e-03,1.214e-03,21016.200000
0.000,0.000,22.000,0.000,0.000e+00,-2.650e-02,-1.433e-03,1.200e-03,21618.300000
0.000,0.000,24.000,0.000,0.000e+00,-2.791e-02,-1.510e-03,1.160e-03,22220.400000
0.000,0.000,26.000,0.000,0.000e+00,-2.925e-02,-1.569e-03,1.129e-03,22822.500000
300.000,0.000,64.250,0.000,0.000e+00,-7.453e-02,-6.334e-03,-1.627e-02,25226.700000
300.000,0.000,66.250,0.000,0.000e+00,-7.666e-02,-7.859e-03,-1.950e-02,25828.800000
300.000,0.000,68.250,0.000,0.000e+00,-7.681e-02,-8.339e-03,-2.035e-02,26430.900000
300.000,0.000,70.250,0.000,0.000e+00,-7.545e-02,-7.660e-03,-1.782e-02,27033.000000
300.000,0.000,72.250,0.000,0.000e+00,-7.656e-02,-8.041e-03,-1.945e-02,27635.100000
300.000,0.000,74.250,0.000,0.000e+00,-7.675e-02,-8.203e-03,-1.987e-02,28237.200000
300.000,0.000,76.250,0.000,0.000e+00,-7.686e-02,-8.284e-03,-2.021e-02,28839.300000
300.000,0.000,78.250,0.000,0.000e+00,-7.693e-02,-8.327e-03,-2.041e-02,29441.400000
300.000,0.000,80.250,0.000,0.000e+00,-7.698e-02,-8.348e-03,-2.045e-02,30043.500000
300.000,0.000,82.250,0.000,0.000e+00,-7.707e-02,-8.381e-03,-2.061e-02,30645.600000
600.000,0.000,120.500,0.000,0.000e+00,-8.585e-02,-9.663e-03,-3.352e-02,33049.800000
600.000,0.000,122.500,0.000,0.000e+00,-8.597e-02,-1.063e-02,-3.395e-02,33651.900000
600.000,0.000,124.500,0.000,0.000e+00,-8.621e-02,-1.087e-02,-3.449e-02,34254.000000
600.000,0.000,126.500,0.000,0.000e+00,-8.621e-02,-1.095e-02,-3.469e-02,34856.100000
600.000,0.000,128.500,0.000,0.000e+00,-8.616e-02,-1.099e-02,-3.475e-02,35458.200000
600.000,0.000,130.500,0.000,0.000e+00,-8.620e-02,-1.097e-02,-3.477e-02,36060.300000
600.000,0.000,132.500,0.000,0.000e+00,-8.619e-02,-1.097e-02,-3.482e-02,36662.400000
600.000,0.000,134.500,0.000,0.000e+00,-8.613e-02,-1.094e-02,-3.488e-02,37264.500000
600.000,0.000,136.500,0.000,0.000e+00,-8.620e-02,-1.093e-02,-3.482e-02,37866.600000
600.000,0.000,138.500,0.000,0.000e+00,-8.618e-02,-1.093e-02,-3.493e-02,38468.700000
900.000,0.000,176.750,0.000,0.000e+00,-9.095e-02,-1.190e-02,-4.344e-02,40872.900000
900.000,0.000,178.750,0.000,0.000e+00,-9.087e-02,-1.251e-02,-4.343e-02,41475.000000
900.000,0.000,180.750,0.000,0.000e+00,-9.094e-02,-1.268e-02,-4.363e-02,42077.100000
900.000,0.000,182.750,0.000,0.000e+00,-9.089e-02,-1.270e-02,-4.371e-02,42679.200000
900.000,0.000,184.750,0.000,0.000e+00,-9.082e-02,-1.271e-02,-4.373e-02,43281.300000
900.000,0.000,186.750,0.000,0.000e+00,-9.089e-02,-1.268e-02,-4.369e-02,43883.400000
900.000,0.000,188.750,0.000,0.000e+00,-9.088e-02,-1.266e-02,-4.365e-02,44485.500000
900.000,0.000,190.750,0.000,0.000e+00,-9.086e-02,-1.265e-02,-4.371e-02,45087.600000
900.000,0.000,192.750,0.000,0.000e+00,-9.084e-02,-1.262e-02,-4.372e-02,45689.700000
900.000,0.000,194.750,0.000,0.000e+00,-9.075e-02,-1.261e-02,-4.376e-02,46291.800000
1200.000,0.000,233.000,0.000,0.000e+00,-9.398e-02,-1.353e-02,-4.986e-02,48696.000000
1200.000,0.000,235.000,0.000,0.000e+00,-9.396e-02,-1.402e-02,-4.992e-02,49298.100000
1200.000,0.000,237.000,0.000,0.000e+00,-9.402e-02,-1.411e-02,-5.008e-02,49900.200000
1200.000,0.000,239.000,0.000,0.000e+00,-9.396e-02,-1.410e-02,-5.001e-02,50502.300000
1200.000,0.000,241.000,0.000,0.000e+00,-9.404e-02,-1.408e-02,-5.014e-02,51104.400000
1200.000,0.000,243.000,0.000,0.000e+00,-9.392e-02,-1.408e-02,-5.003e-02,51706.500000
1200.000,0.000,245.000,0.000,0.000e+00,-9.386e-02,-1.405e-02,-5.012e-02,52308.600000
1200.000,0.000,247.000,0.000,0.000e+00,-9.387e-02,-1.402e-02,-5.005e-02,52910.700000
1200.000,0.000,249.000,0.000,0.000e+00,-9.396e-02,-1.402e-02,-5.010e-02,53512.800000
1200.000,0.000,251.000,0.000,0.000e+00,-9.393e-02,-1.401e-02,-5.011e-02,54114.900000
1500.000,0.000,289.250,0.000,0.000e+00,-9.634e-02,-1.484e-02,-5.473e-02,56519.100000
1500.000,0.000,291.250,0.000,0.000e+00,-9.649e-02,-1.532e-02,-5.490e-02,57121.200000
1500.000,0.000,293.250,0.000,0.000e+00,-9.648e-02,-1.537e-02,-5.508e-02,57723.300000
1500.000,0.000,295.250,0.000,0.000e+00,-9.641e-02,-1.534e-02,-5.500e-02,58325.400000
1500.000,0.000,297.250,0.000,0.000e+00,-9.614e-02,-1.531e-02,-5.511e-02,58927.500000
1500.000,0.000,299.250,0.000,0.000e+00,-9.636e-02,-1.531e-02,-5.508e-02,59529.600000
1500.000,0.000,301.250,0.000,0.000e+00,-9.632e-02,-1.529e-02,-5.509e-02,60131.700000
1500.000,0.000,303.250,0.000,0.000e+00,-9.621e-02,-1.527e-02,-5.511e-02,60733.800000
1500.000,0.000,305.250,0.000,0.000e+00,-9.624e-02,-1.525e-02,-5.505e-02,61335.900000
1500.000,0.000,307.250,0.000,0.000e+00,-9.610e-02,-1.525e-02,-5.517e-02,61938.000000
1800.000,0.000,345.500,0.000,0.000e+00,-9.806e-02,-1.605e-02,-5.872e-02,64342.200000
1800.000,0.000,347.500,0.000,0.000e+00,-9.808e-02,-1.646e-02,-5.898e-02,64944.300000
1800.000,0.000,349.500,0.000,0.000e+00,-9.808e-02,-1.649e-02,-5.913e-02,65546.400000
1800.000,0.000,351.500,0.000,0.000e+00,-9.815e-02,-1.646e-02,-5.910e-02,66148.500000
1800.000,0.000,353.500,0.000,0.000e+00,-9.827e-02,-1.642e-02,-5.920e-02,66750.600000
1800.000,0.000,355.500,0.000,0.000e+00,-9.816e-02,-1.642e-02,-5.917e-02,67352.700000
1800.000,0.000,357.500,0.000,0.000e+00,-9.809e-02,-1.641e-02,-5.926e-02,67954.800000
1800.000,0.000,359.500,0.000,0.000e+00,-9.805e-02,-1.638e-02,-5.919e-02,68556.900000
1800.000,0.000,361.500,0.000,0.000e+00,-9.825e-02,-1.638e-02,-5.930e-02,69159.000000
1800.000,0.000,363.500,0.000,0.000e+00,-9.814e-02,-1.635e-02,-5.920e-02,69761.100000
2100.000,0.000,401.750,0.000,0.000e+00,-9.992e-02,-1.717e-02,-6.213e-02,72165.300000
2100.000,0.000,403.750,0.000,0.000e+00,-1.001e-01,-1.756e-02,-6.260e-02,72767.400000
2100.000,0.000,405.750,0.000,0.000e+00,-9.997e-02,-1.748e-02,-6.248e-02,73369.500000
2100.000,0.000,407.750,0.000,0.000e+00,-9.996e-02,-1.747e-02,-6.261e-02,73971.600000
2100.000,0.000,409.750,0.000,0.000e+00,-9.998e-02,-1.745e-02,-6.265e-02,74573.700000
2100.000,0.000,411.750,0.000,0.000e+00,-9.978e-02,-1.738e-02,-6.256e-02,75175.800000
2100.000,0.000,413.750,0.000,0.000e+00,-9.978e-02,-1.738e-02,-6.267e-02,75777.900000
2100.000,0.000,415.750,0.000,0.000e+00,-1.000e-01,-1.738e-02,-6.263e-02,76380.000000
2100.000,0.000,417.750,0.000,0.000e+00,-9.975e-02,-1.739e-02,-6.278e-02,76982.100000
2100.000,0.000,419.750,0.000,0.000e+00,-9.952e-02,-1.732e-02,-6.258e-02,77584.200000
2400.000,0.000,458.000,0.000,0.000e+00,-1.002e-01,-1.754e-02,-6.335e-02,79988.400000
2400.000,0.000,460.000,0.000,0.000e+00,-1.007e-01,-1.780e-02,-6.364e-02,80590.500000
2400.000,0.000,462.000,0.000,0.000e+00,-1.002e-01,-1.772e-02,-6.366e-02,81192.600000
2400.000,0.000,464.000,0.000,0.000e+00,-1.001e-01,-1.766e-02,-6.367e-02,81794.700000
2400.000,0.000,466.000,0.000,0.000e+00,-1.006e-01,-1.766e-02,-6.372e-02,82396.800000
2400.000,0.000,468.000,0.000,0.000e+00,-1.005e-01,-1.766e-02,-6.383e-02,82998.900000
2400.000,0.000,470.000,0.000,0.000e+00,-1.003e-01,-1.765e-02,-6.389e-02,83601.000000
2400.000,0.000,472.000,0.000,0.000e+00,-9.997e-02,-1.757e-02,-6.370e-02,84203.100000
2400.000,0.000,474.000,0.000,0.000e+00,-1.004e-01,-1.760e-02,-6.381e-02,84805.200000
2400.000,0.000,476.000,0.000,0.000e+00,-1.004e-01,-1.761e-02,-6.392e-02,85407.300000
